Participant,Gender,Age,EngL1,[Field-2]-1_1_1-relatedword1,[Field-2]-1_1_1-relatedword2,[Field-2]-1_1_1-relatedword3,[Field-2]-1_1_2-relatedword1,[Field-2]-1_1_2-relatedword2,[Field-2]-1_1_2-relatedword3,[Field-2]-1_1_4-relatedword1,[Field-2]-1_1_4-relatedword2,[Field-2]-1_1_4-relatedword3,[Field-2]-1_2_1-relatedword1,[Field-2]-1_2_1-relatedword2,[Field-2]-1_2_1-relatedword3,[Field-2]-1_2_2-relatedword1,[Field-2]-1_2_2-relatedword2,[Field-2]-1_2_2-relatedword3,[Field-2]-1_2_3-relatedword1,[Field-2]-1_2_3-relatedword2,[Field-2]-1_2_3-relatedword3,[Field-2]-1_3_1-relatedword1,[Field-2]-1_3_1-relatedword2,[Field-2]-1_3_1-relatedword3,[Field-2]-1_3_3-relatedword1,[Field-2]-1_3_3-relatedword2,[Field-2]-1_3_3-relatedword3,[Field-2]-1_3_4-relatedword1,[Field-2]-1_3_4-relatedword2,[Field-2]-1_3_4-relatedword3,[Field-2]-2_1_1-relatedword1,[Field-2]-2_1_1-relatedword2,[Field-2]-2_1_1-relatedword3,[Field-2]-2_1_2-relatedword1,[Field-2]-2_1_2-relatedword2,[Field-2]-2_1_2-relatedword3,[Field-2]-2_1_3-relatedword1,[Field-2]-2_1_3-relatedword2,[Field-2]-2_1_3-relatedword3,[Field-2]-2_2_2-relatedword1,[Field-2]-2_2_2-relatedword2,[Field-2]-2_2_2-relatedword3,[Field-2]-2_2_3-relatedword1,[Field-2]-2_2_3-relatedword2,[Field-2]-2_2_3-relatedword3,[Field-2]-2_2_6-relatedword1,[Field-2]-2_2_6-relatedword2,[Field-2]-2_2_6-relatedword3,[Field-2]-2_3_1-relatedword1,[Field-2]-2_3_1-relatedword2,[Field-2]-2_3_1-relatedword3,[Field-2]-2_3_2-relatedword1,[Field-2]-2_3_2-relatedword2,[Field-2]-2_3_2-relatedword3,[Field-2]-2_3_4-relatedword1,[Field-2]-2_3_4-relatedword2,[Field-2]-2_3_4-relatedword3,[Field-2]-3_1_1-relatedword1,[Field-2]-3_1_1-relatedword2,[Field-2]-3_1_1-relatedword3,[Field-2]-3_1_6-relatedword1,[Field-2]-3_1_6-relatedword2,[Field-2]-3_1_6-relatedword3,[Field-2]-3_1_3-relatedword1,[Field-2]-3_1_3-relatedword2,[Field-2]-3_1_3-relatedword3,[Field-2]-3_2_5-relatedword1,[Field-2]-3_2_5-relatedword2,[Field-2]-3_2_5-relatedword3,[Field-2]-3_2_2-relatedword1,[Field-2]-3_2_2-relatedword2,[Field-2]-3_2_2-relatedword3,[Field-2]-3_2_3-relatedword1,[Field-2]-3_2_3-relatedword2,[Field-2]-3_2_3-relatedword3,[Field-2]-3_3_1-relatedword1,[Field-2]-3_3_1-relatedword2,[Field-2]-3_3_1-relatedword3,[Field-2]-3_3_2-relatedword1,[Field-2]-3_3_2-relatedword2,[Field-2]-3_3_2-relatedword3,[Field-2]-3_3_4-relatedword1,[Field-2]-3_3_4-relatedword2,[Field-2]-3_3_4-relatedword3,Forthisquestiontypethewordbananainthethreeboxes.-relatedword1,Forthisquestiontypethewordbananainthethreeboxes.-relatedword2,Forthisquestiontypethewordbananainthethreeboxes.-relatedword3,[Field-2]-1_1_3-relatedword1,[Field-2]-1_1_3-relatedword2,[Field-2]-1_1_3-relatedword3,[Field-2]-1_1_5-relatedword1,[Field-2]-1_1_5-relatedword2,[Field-2]-1_1_5-relatedword3,[Field-2]-1_1_6-relatedword1,[Field-2]-1_1_6-relatedword2,[Field-2]-1_1_6-relatedword3,[Field-2]-1_2_4-relatedword1,[Field-2]-1_2_4-relatedword2,[Field-2]-1_2_4-relatedword3,[Field-2]-1_2_5-relatedword1,[Field-2]-1_2_5-relatedword2,[Field-2]-1_2_5-relatedword3,[Field-2]-1_2_6-relatedword1,[Field-2]-1_2_6-relatedword2,[Field-2]-1_2_6-relatedword3,[Field-2]-1_3_2-relatedword1,[Field-2]-1_3_2-relatedword2,[Field-2]-1_3_2-relatedword3,[Field-2]-1_3_5-relatedword1,[Field-2]-1_3_5-relatedword2,[Field-2]-1_3_5-relatedword3,[Field-2]-1_3_6-relatedword1,[Field-2]-1_3_6-relatedword2,[Field-2]-1_3_6-relatedword3,[Field-2]-2_1_4-relatedword1,[Field-2]-2_1_4-relatedword2,[Field-2]-2_1_4-relatedword3,[Field-2]-2_1_5-relatedword1,[Field-2]-2_1_5-relatedword2,[Field-2]-2_1_5-relatedword3,[Field-2]-2_1_6-relatedword1,[Field-2]-2_1_6-relatedword2,[Field-2]-2_1_6-relatedword3,[Field-2]-2_2_1-relatedword1,[Field-2]-2_2_1-relatedword2,[Field-2]-2_2_1-relatedword3,[Field-2]-2_2_4-relatedword1,[Field-2]-2_2_4-relatedword2,[Field-2]-2_2_4-relatedword3,[Field-2]-2_2_5-relatedword1,[Field-2]-2_2_5-relatedword2,[Field-2]-2_2_5-relatedword3,[Field-2]-2_3_3-relatedword1,[Field-2]-2_3_3-relatedword2,[Field-2]-2_3_3-relatedword3,[Field-2]-2_3_5-relatedword1,[Field-2]-2_3_5-relatedword2,[Field-2]-2_3_5-relatedword3,[Field-2]-2_3_6-relatedword1,[Field-2]-2_3_6-relatedword2,[Field-2]-2_3_6-relatedword3,[Field-2]-3_1_4-relatedword1,[Field-2]-3_1_4-relatedword2,[Field-2]-3_1_4-relatedword3,[Field-2]-3_1_5-relatedword1,[Field-2]-3_1_5-relatedword2,[Field-2]-3_1_5-relatedword3,[Field-2]-3_1_2-relatedword1,[Field-2]-3_1_2-relatedword2,[Field-2]-3_1_2-relatedword3,[Field-2]-3_2_4-relatedword1,[Field-2]-3_2_4-relatedword2,[Field-2]-3_2_4-relatedword3,[Field-2]-3_2_1-relatedword1,[Field-2]-3_2_1-relatedword2,[Field-2]-3_2_1-relatedword3,[Field-2]-3_2_6-relatedword1,[Field-2]-3_2_6-relatedword2,[Field-2]-3_2_6-relatedword3,[Field-2]-3_3_3-relatedword1,[Field-2]-3_3_3-relatedword2,[Field-2]-3_3_3-relatedword3,[Field-2]-3_3_5-relatedword1,[Field-2]-3_3_5-relatedword2,[Field-2]-3_3_5-relatedword3,[Field-2]-3_3_6-relatedword1,[Field-2]-3_3_6-relatedword2,[Field-2]-3_3_6-relatedword3,LangSpoken,Lang_0-5,Lang_6-12,Lang_13-18,selfrate_speak,selfrate_understand,Span_classes,Span_classes_time,Span_classes_amount,current_enrolled,current_class,Caregivers_speak_Span,Span_travel,Span_country,mTurkCode
EN02,Female,22,Yes,pillow,sheets,sleep,glass,reflection,bathroom,cleaning,dirt,mess,maid,dust,dirty,clean,food,kitchen,straighten,steam,clean,hold,to sell,shop,deal,coupon,cheap,money,boujee,high end,coke,pepsi,sprite,steak,beef,poultry,lettuce,healthy,dressing,sports,baseball,ball,sports,mean,whistle,sports,rules,game,stability,lean on,broken,illness,throw up,feel bad,skinny,pretty,fit,shorts,clothing,style,baseball,beanie,bucket,short,pretty,girl,sky,jet,parachute,sand,ocean,umbrella,money,apartment,purchase,pour,cloud,water,hot,bright,yellow,chilly,outdoors,snow,banana,banana,banana,pintura,retrato,fotografia,cama,dormir,casado,limpiar,ropa,hojas,sucio,desperdicio,sacar,limpio,basura,deshacerse,limpiar,cara,ropa,tienda,comprar,dinero,abarro,caro,dinero,rico,contento,caro,carne,cena,filete,beber,contento,alcohol,pastel,dulce,sabroso,jugar,futbol,deportes,derecho,defensa,deportes,jugar,deportes,futbol,doler,huesos,romper,pena,duelo,hueso,hospital,doctor,paciente,ropa,chica,pequeno,ropa,chica,bonita,ropa,chico,limpio,coche,carro,viajar,equipaje,viajar,viaje,hotel,habitacion,viaje,frio,invierne,primavera,caliente,soleada,playa,frio,invierno,nieve,English,English,English,English,I can talk about familiar topics using single words or short phrases.,I can recognize only very familiar words when listening/reading.,Yes,high school/ college,5,Yes,3,No,No,,4869997
EN08,Female,21,Yes,sleep,pillow,blanket,reflection,glass,imitate ,carpet,house,mess,broom,mop,sponge,kitchen,food,stove,flat,hot,crease,shop,food,clothes,price,money,sale,money ,fancy,valuable,fizz,pop,cola,cow,poultry,chicken,dressing,tomato ,green,video,sports,play,sport,team,player,game,sport,whistle,broken,leg,cast,cold,headache,fever,fit,heart,well,clothes,shorts,sweater,head,top,fedora,short,legs,flow,fly,sky,pilot,sand,ocean,shells,house,apartment,lease,wet,drop,storm,shine,summer,yellow,freeze,winter,snow,banana,banana,banana,foto,fotografiar,familia,cama,almohada,manta,limpiar,ropa,secadora,limiar,sacar,comida,limpiar,sala,suelo,baño,ducha,pelo,comprar,tienda,venta,dinero,venta,tienda,gastar,tienda,banco,carne,bistec,pescado,beber,refresco,restaurante,helado,pastel,galleta,fútbol,juego,partido,juego,entrenadora,partido,partido,juego,entrenador,huesos,romper,hospital,cabeza,garganta,pierna,doctor,hospital,enfermo,pantalones,blusa,chaqueta,ropa,chica,tacones altos,cortes,camiseta,ropa,puerta,carro,funcionar ,vacaciones,ropa,viajar,casa,hotel,vacaciones,frío,blanco,invierno,verano,playa,augusto,frío,aire,ventana,English,english,english,english,I can talk about familiar topics using full (simple) sentences and ask basic questions.,I can understand basic information of everyday topics when listening/reading.,Yes,"middle school, high school, college",6 years,Yes,spanish 20,No,No,,1344442
EN04,Female,19,Yes,Frame,Sheets,Pillow,Reflection,Glass,Sight ,Dirty,Mess,Clean,Towels,Broom,Vacuum,Food,Stove,Kitchen,Clothes,Business,Fancy,Grocery,Money,Bags,Card,Store,Money,Taste,Money,Rich,Drink,Fizz,Can,Eater,Food,Animal,Lettuce,Tomato,Croutons,Play,Fun,Party,Sport,Team,School,Soccer,Stripes,Basketball,Hurt,Broken,Legs,Sneeze,Cough,Fever,Food,Workout,Water,Graphic,Embroidered ,Pants,Head,Hair,Cowboy,Clothes,Dress,Outfit,Wing,Flight,Trip,Sand,Ocean,Whale,House,Apartment,Lease,Cloud,Wet,Drop,Bright,Warm,Summer,Hot,Chilly,Winter,Banana,Banana,Banana,Pintor,Pintura,Arte,Cama,Dormir,Noche,Ropa ,Limpio,Sucio ,Sucio,Reciclar,Bote de basura,Limpio,Sucio,Suelo,Limpio,Sucio ,Platos,Dinero,Tienda,Cliente,Dinero,Caro,Tienda,Mucho,Banco,Querer ,Carne,Pavo,Tocino ,Beber,Leche,Agua,Caliente,Calor,Seco,Deporte,Futbol,Futbol americano,Deporte,Ganar,Partido,Deporte,Partido,Atleta,Hueso,Hospital ,Roto,Medico,Enfermo,Hospital,Hospital,Paciente,Enfermo,Camisa,Pantalones,Zapatos,Camisa,Camiseta,Jaqueta ,Camisa,Vestido,Zapatos,Coche ,Carretera,Calle,Viaje ,Avion ,Boleto ,Ayudar,Paciente,Restaurante,Frio,Calor,Invierno,Blanco,Amarillo,Verde,Cometa,Fuera,Clima,"English, partial spanish",English,English,English,I can talk about familiar topics using full (simple) sentences and ask basic questions.,"In can understand the main idea and also details of somewhat complex discourse when listening/reading, especially if I'm familiar with the topic.",Yes,High school and one year of college,5 semesters,Yes,Intermediate Spanish - SPAN 3,No,No,,224294
EN16,Female,20,Yes,blanket,pillow,sheet,reflection,sizes,outfit,dust,messy,loud,wipe,broom,vacuum,fun,cuisine,chop,clothes,steam,heat,shein,lucy in the sky,cashier,sale,store,coupon,luxury,brand,money,sprite,fanta,sweet,bad,vegetarian,cow,dressing,lettuce,fresh,tennis,dance,football,sport,lead,teach,game,whistle,flag,injury,cast,limp,cold,fever,covid,good,salad,vegan,logo,comfortable,easy,cap,head,hair,pretty,floral,circle,flying,vacation,ticket,towel,ocean,sand,house,apartment ,expense,water,droplet,wet,bright,yellow,warm,water,ice,coffee,fruit,yellow,potassium,bonita,pintur,artista,cama,dormir,almohada,ropa,limpiar,agua,mal,residuar,desechos,limpiar,polvo,escoba,jabón,agua,champú,tienda,dinero,trabajar,no caro,dinero,pobreza,pobreza,verde,gastar,comida,campo,cocinar,veintiuno,fiesta,pizza,dulce,pastel,fruta,deportes,tenis,fútbol,juego,deportes,trofeo,deportes,practicar,entrenedor,hueso,examen,hospital,médico,daño,mal,hospital,COVID,lesión,ropa,cómodo,bien,ropa,elegante,colores,pantalones cortos,larga,piernas,conducir,cambiar,fuerzo,viajar,pasaporte,avión,habitación,cama,reservación,invierno,frío,navidad,sol,primavera,verano,afuera,brisa,aire,"English, Telugu, Spanish","English, Telugu","English, Telugu","English, Telugu, Spanish",I can talk about familiar topics using full (simple) sentences and ask basic questions.,"In can understand the main idea and also details of somewhat complex discourse when listening/reading, especially if I'm familiar with the topic.",Yes,"middle school, high school, college",7 years,Yes,spanish 200,No,No,,3582005
EN14,Female,19,Yes,sleep,comfortable,covers,glass,rectangle,face,dust,hose,clean,sweeper,wipes,spray,food,chef,spatula ,metal,steam,clothes,food,clothes,doors,clothes,price,money,clothes,money,price tag,carbonation,brown,bottle,butcher,food,red,lettuce,tomato,container,video,fun,kids,sports,rules,game,coach,sports,color,injury,emotions,hospital,flu,soup,medicine ,salad,food,workout,red,short,neck,head,color,hot,blue,long,clothes,fear,people,pilot,sand,sun,water,owner,house,money,flowers,weather,blue,red,hot,fiery,weather,snow,bad,banana,banana,banana,pared,colores,decoracion ,cama,almohada,limpiar,limpiar,ropas,sistema ,casa,hacer,sucio,limpiar,sucio,polvo,coche,platos,perro,tienda,ropa,dinero,dinero,ropas,personas,ropa,finanzas,trabajo,cenar,comida,legumbres,fiesta,amigas,bebidas,dulce,rico,pastel,jugador,el partido,el equipo,jugador,el partido,ganador,las reglas,los deportes,el partido,enfermedad,medicina ,dolor,cabeza,cara,medicina ,enferma ,medicina ,dolor,pantalones,ropas,verano,ropa,dinero,personas,camisa,ropa,persona,coche,carro,personas,hacer,ropas,viaje,casa,dinero,familia,fría ,tiempo,blanco,verano,plantas,agua,tiempo,nubes,cielo,"English, Spanish",english,english,english,I can talk about familiar topics using full (simple) sentences and ask basic questions.,"In can understand the main idea and also details of somewhat complex discourse when listening/reading, especially if I'm familiar with the topic.",Yes,"high school, college",6 years,Yes,SPAN 200,No,No,,6978743
EN12,Female,22,Yes,sleep,tired,pillow,reflection,glass,self,clean,dusty,noisey,house,bleach,scrub,food,smell,kitchen,clothes,steam,work,shop,groceries ,price,sale,store,price,price,cost,money,pop,coke,drink,steak,chicken,beef,lettuce,veggies,food,play,fun,friends,airplane,bag,carriage,stripped,soccer,whistle,broken,stick,cast,throw up,fever,tired,fit,happy,well,button ,collar,cotton,sun,cap,baseball,short,legs,summer,sky,fly,metal,ocean,sand,sun,appartment,expensive,money,cloudy,wet,grey,set,rise,light,chilly,sick,jacket,banana,banana,banana,,,,,,,lavar,ropa,secar,,,,,,,ropa,limpiar,casa,vendedora,tienda,dinero,dinero,tienda,vendador,tienda,vendador,comprar,comida,cocinar,cenar,cenar,liquid,fiesta,comida,cenar,galleta,equipo,partido,fútbol,partido,estadio,fútbol,jugadora,trumpeta,fútbol,medico,dolor,hospital,calor,medico,triste,dolor,fiebre,malo,vestir,lavar,poner la ropa,ropa,comprar,zapatos,ropa,vestir,zapatos,,,,passaporte,avíon,vacaciones,,,,enero,navidad,frío,julio,sol,fiebre,,,,"English, French, some Spanish",English,English,English,I can talk about familiar topics using full (simple) sentences and ask basic questions.,I can understand basic information of everyday topics when listening/reading.,Yes,College,2 semesters,Yes,SPAN 20,No,No,,7710150
EN18,Male,19,Yes,SLEEP,BLANKET,PEANUTS,REFLECTION,LOOK,CLEAN,SUCK,RUG,DIRT,SOAP,WATER,SPONGE,FOOD,RECIPE,PAN,PROFESSIONAL,PRESS,HOT,SUPPLIES,MONEY,FOOD,SALE,MONEY,LESS,MONEY,LUXURY,DESIGNER,COKE,TASTY,DIET,STEAK,BBQ,BURGER,FOOD,LETTUCE,DRESSING,VIDEO,FUN,PLAY,PLAYER,PLAN,LEADER,PENALTY,SPORT,STRIPES,HURT ,BROKEN,INJURED ,COLD,SNOT,TISSUE,VEGETABLES,WORKOUT,MEDICINE,CLOTHES,COLOR,WARM,COLOR,HEAD,STYLE,GIRL,CLOTHES,SCHOOL,SKY,CLOUDS,FAST,SAND,SUN,WATER,MONEY,LIVE,PAY,WATER,WET,SKY,HOT,BRIGHT,FAR,SNOW,ICE,SHOVEL,BANANA,BANANA,BANANA,COLOR,EL CEPILLO,DIVERTIDO,papel,pluma,nombre,ropa,sucio,detergente,papel,comida,lleno,escoba,lavar,sucio,aqua,jabón,mopa,dinero,coche,ropa,dinero,rebaja,ropa,COMIDA,TRABAJO,PAGAR,comida,cocinar,cena,beber,fiesta,contento,pastel,galleta,helado,deportes,jugar,fuera,jugar,pelota,jugardor,deportes,jugar,pelota,medico,doctor,roto,HERIDO,FRACTURADO,ROTO,doctor,enferma ,roto,chico,color,verano,chica,professora,ropa,ropa,lavar,pierna,coche,rápido,carretera,viajar,ropa,avíon,hotel,pagar,dinero,frío,aqua,caer,verano,horno,sol,parque,frío,fuera,English ,English,English,English,I can talk about familiar topics using full (simple) sentences and ask basic questions.,"In can understand the main idea and also details of somewhat complex discourse when listening/reading, especially if I'm familiar with the topic.",Yes,from elmentary school to college,10,Yes,SPAN 3,No,No,,5613761
EN20,Male,19,Yes,bedroom,sleep,night,Reflection ,penny,mysterious ,clean,carpet,sears,vacumm,sweep,cleaner,eat,food,pan,shirts,skirts,fancy,shopping,ross,market,stores,ross,dad,shoes,car,fancy,friends,mom,costco,Protein ,Animals ,market,dressing,lettuce ,stores,basketball,board games,brothers,player,basketball,sports,sports,basketball,coach,injury,ankle,PT,mom,medicine ,doctor,salad,instagram,workout ,clothing,warm,shorts,baseball,dads,kids,girls,summer,fancy,flight ,attendants ,pilot,beach ball,ocean,boardwalk,borrow,skating,camping,sad,outside,peaceful,ocean,beach,warm,jacket,winter,boots,banana,banana,banana,imagen,madre,profesional ,cama,habitación,casa,dientes,lavarse,agua,comida,papel,latas,limpia,lavarse,aspiradora,lavarse,agua,dientes ,agua,ayuda,depistado ,descuento ,tienda,compras,pagar,verde,poder,carne,galletas ,salsa,noche,beber,pub,galletas,pastel,crema,deportes,entrenadora,amigos ,deportes,victoriosa,atlético ,deportes,caminar,jugar,escanear,cámara,destello ,herido,dolorse,ayudar,hospital ,médico,herido,camisa,pantatlones,calcetines ,camisa,pantalones ,calcetines ,pantalones cortos,camisa,camiseta ,sujeción,diapositiva,arena,cartera,collar,joyas,ayuda,atender,cuidado,fría,invierno,trineo,playa,oceano,agua,tiempo,lluvia,fuera de,English,English,English,English ,I can talk about familiar topics using full (simple) sentences and ask basic questions.,I can understand basic information of everyday topics when listening/reading.,Yes,High school and college ,3 years,Yes,Spanish 3,No,No,,2075465
EN22,Female,18,Yes,mattress,sleep,room,reflection,see,check,loud,clean,hair,house,dishes,dirty,food,kitchen,mom,flat,wrinkle,hot,grocery,buy,economy,money,store,coupon,money,purse,house,coke,bubbly,can,chicken,steak,pork,green,lettuce,healthy,play,board,sport,sport,motivate,inspire,sport,game,flag,leg,uncomfortable,injury,bad,runny nose,cough,vegetables,fruit ,diet,clothing,style,tee shirt,top hat,baseball,fedora ,plaid,nice,occasion,trip,vacation,airport,tan,sand,waves,money,landlord,monthly,wet,drip,umbrella,hot,summer,yellow,wether,winter,jacket,banana,banana,banana,arte,mural,artista,cama,habitación,cómodo,ropa,secadora,doblar,olor,tarea,tirar,lavar,suelo,tarea,cocinar,cocina,platos,tienda,comprar,persona,dinero,caro,ganga,comprar,tienda,trabajar,carne,granja,cocinar,beber,fiesta,amigos,delicioso,dulce,chocolate,fútbal,béisbol,básquetbol,juego,equipo,deporte,juego,deportes,equipo,brazo,hueso,fractura,triste,descansar,hielo,consultorio médico,medicina,enfermo,ropa,vestido,pantalones,verano,restaurante,ocasión,vaqueros,shorts,ropa,usar,hacer,coche,vacacion,viaje,viajar,viajar,simpatico,maleta,invierno,frío,blanco,sol,verano,agua,pelo,árbol,fuera,English,English ,English ,English ,I can talk about familiar topics using single words or short phrases.,I can recognize only very familiar words when listening/reading.,Yes,Spanish 1 and 2 in high school; Spanish 2 and 3 in college,4 semesters,Yes,,No,No,,8470503
EN32,Male,19,Yes,sleep,soft,lay,face,me,eyes,suck,carpet,dirt,bottle,rag,spray,pot,pans,food,clothes,hot,steam,money,grocery,food,money,percent,sticker,money,rich,delicate,brown,coke,can,red,beef,steak,tomatos,lettuce,green,video,sports,fun,hat,whistle,sports,stripes,black,white,walk,injured,metal,stuffy,nose,mucus,exercise,salad,happy,collar,white,pants,baseball,sunny,cowboy,tennis,spring,white,air,fly,white,umbrella,towel,sand,apartment,hotel,live,water,dark,wet,bright,yellow,hot,ice,blue,snowflake,banana,banana,banana,cuatro,sala,,,,,platos,ropa,lavar,comida,sacar,contaminación,limpiar,piso,,manos,platos,limpiar,dinero,tienda,comida,dinero,,,rico,caro,tienda,comida,hambre,ave,beber,amarillo,refresco,pan,cocina,hornear,correr,deportes,ejercicio,ganar,perder,equipo,equipo,ganar,divertido,fotografía,hueso,pintura,cabeza,enferma,muletas,enferma,hospital,dolor,primavera,Pascua,verde,boda,traje,formal,negro,camisa,ropa,Puerta,jarra,mantequilla,avión,viaje,,,,,blanco,frío,,sol,rojo,caliente,otoño,tiempo,,English,English,English,English,I can talk about familiar topics using full (simple) sentences and ask basic questions.,"In can understand the main idea and also details of somewhat complex discourse when listening/reading, especially if I'm familiar with the topic.",Yes,"Middle School, High School, College",6,Yes,Spanish 3,No,No,,3641142
