Iteration_Survey,Participant,Gender,Age,SpanL1,[Field-2]-1_1_1-relatedword1,[Field-2]-1_1_1-relatedword2,[Field-2]-1_1_1-relatedword3,[Field-2]-1_1_2-relatedword1,[Field-2]-1_1_2-relatedword2,[Field-2]-1_1_2-relatedword3,[Field-2]-1_1_4-relatedword1,[Field-2]-1_1_4-relatedword2,[Field-2]-1_1_4-relatedword3,[Field-2]-1_2_1-relatedword1,[Field-2]-1_2_1-relatedword2,[Field-2]-1_2_1-relatedword3,[Field-2]-1_2_2-relatedword1,[Field-2]-1_2_2-relatedword2,[Field-2]-1_2_2-relatedword3,[Field-2]-1_2_3-relatedword1,[Field-2]-1_2_3-relatedword2,[Field-2]-1_2_3-relatedword3,[Field-2]-1_3_1-relatedword1,[Field-2]-1_3_1-relatedword2,[Field-2]-1_3_1-relatedword3,[Field-2]-1_3_3-relatedword1,[Field-2]-1_3_3-relatedword2,[Field-2]-1_3_3-relatedword3,[Field-2]-1_3_4-relatedword1,[Field-2]-1_3_4-relatedword2,[Field-2]-1_3_4-relatedword3,[Field-2]-2_1_1-relatedword1,[Field-2]-2_1_1-relatedword2,[Field-2]-2_1_1-relatedword3,[Field-2]-2_1_2-relatedword1,[Field-2]-2_1_2-relatedword2,[Field-2]-2_1_2-relatedword3,[Field-2]-2_1_3-relatedword1,[Field-2]-2_1_3-relatedword2,[Field-2]-2_1_3-relatedword3,[Field-2]-2_2_2-relatedword1,[Field-2]-2_2_2-relatedword2,[Field-2]-2_2_2-relatedword3,[Field-2]-2_2_3-relatedword1,[Field-2]-2_2_3-relatedword2,[Field-2]-2_2_3-relatedword3,[Field-2]-2_2_6-relatedword1,[Field-2]-2_2_6-relatedword2,[Field-2]-2_2_6-relatedword3,[Field-2]-2_3_1-relatedword1,[Field-2]-2_3_1-relatedword2,[Field-2]-2_3_1-relatedword3,[Field-2]-2_3_2-relatedword1,[Field-2]-2_3_2-relatedword2,[Field-2]-2_3_2-relatedword3,[Field-2]-2_3_4-relatedword1,[Field-2]-2_3_4-relatedword2,[Field-2]-2_3_4-relatedword3,[Field-2]-3_1_1-relatedword1,[Field-2]-3_1_1-relatedword2,[Field-2]-3_1_1-relatedword3,[Field-2]-3_1_6-relatedword1,[Field-2]-3_1_6-relatedword2,[Field-2]-3_1_6-relatedword3,[Field-2]-3_1_3-relatedword1,[Field-2]-3_1_3-relatedword2,[Field-2]-3_1_3-relatedword3,[Field-2]-3_2_5-relatedword1,[Field-2]-3_2_5-relatedword2,[Field-2]-3_2_5-relatedword3,[Field-2]-3_2_2-relatedword1,[Field-2]-3_2_2-relatedword2,[Field-2]-3_2_2-relatedword3,[Field-2]-3_2_3-relatedword1,[Field-2]-3_2_3-relatedword2,[Field-2]-3_2_3-relatedword3,[Field-2]-3_3_1-relatedword1,[Field-2]-3_3_1-relatedword2,[Field-2]-3_3_1-relatedword3,[Field-2]-3_3_2-relatedword1,[Field-2]-3_3_2-relatedword2,[Field-2]-3_3_2-relatedword3,[Field-2]-3_3_4-relatedword1,[Field-2]-3_3_4-relatedword2,[Field-2]-3_3_4-relatedword3,Forthisquestiontypethewordbananainthethreeboxes.-relatedword1,Forthisquestiontypethewordbananainthethreeboxes.-relatedword2,Forthisquestiontypethewordbananainthethreeboxes.-relatedword3,[Field-2]-1_1_3-relatedword1,[Field-2]-1_1_3-relatedword2,[Field-2]-1_1_3-relatedword3,[Field-2]-1_1_5-relatedword1,[Field-2]-1_1_5-relatedword2,[Field-2]-1_1_5-relatedword3,[Field-2]-1_1_6-relatedword1,[Field-2]-1_1_6-relatedword2,[Field-2]-1_1_6-relatedword3,[Field-2]-1_2_4-relatedword1,[Field-2]-1_2_4-relatedword2,[Field-2]-1_2_4-relatedword3,[Field-2]-1_2_5-relatedword1,[Field-2]-1_2_5-relatedword2,[Field-2]-1_2_5-relatedword3,[Field-2]-1_2_6-relatedword1,[Field-2]-1_2_6-relatedword2,[Field-2]-1_2_6-relatedword3,[Field-2]-1_3_2-relatedword1,[Field-2]-1_3_2-relatedword2,[Field-2]-1_3_2-relatedword3,[Field-2]-1_3_5-relatedword1,[Field-2]-1_3_5-relatedword2,[Field-2]-1_3_5-relatedword3,[Field-2]-1_3_6-relatedword1,[Field-2]-1_3_6-relatedword2,[Field-2]-1_3_6-relatedword3,[Field-2]-2_1_4-relatedword1,[Field-2]-2_1_4-relatedword2,[Field-2]-2_1_4-relatedword3,[Field-2]-2_1_5-relatedword1,[Field-2]-2_1_5-relatedword2,[Field-2]-2_1_5-relatedword3,[Field-2]-2_1_6-relatedword1,[Field-2]-2_1_6-relatedword2,[Field-2]-2_1_6-relatedword3,[Field-2]-2_2_1-relatedword1,[Field-2]-2_2_1-relatedword2,[Field-2]-2_2_1-relatedword3,[Field-2]-2_2_4-relatedword1,[Field-2]-2_2_4-relatedword2,[Field-2]-2_2_4-relatedword3,[Field-2]-2_2_5-relatedword1,[Field-2]-2_2_5-relatedword2,[Field-2]-2_2_5-relatedword3,[Field-2]-2_3_3-relatedword1,[Field-2]-2_3_3-relatedword2,[Field-2]-2_3_3-relatedword3,[Field-2]-2_3_5-relatedword1,[Field-2]-2_3_5-relatedword2,[Field-2]-2_3_5-relatedword3,[Field-2]-2_3_6-relatedword1,[Field-2]-2_3_6-relatedword2,[Field-2]-2_3_6-relatedword3,[Field-2]-3_1_4-relatedword1,[Field-2]-3_1_4-relatedword2,[Field-2]-3_1_4-relatedword3,[Field-2]-3_1_5-relatedword1,[Field-2]-3_1_5-relatedword2,[Field-2]-3_1_5-relatedword3,[Field-2]-3_1_2-relatedword1,[Field-2]-3_1_2-relatedword2,[Field-2]-3_1_2-relatedword3,[Field-2]-3_2_4-relatedword1,[Field-2]-3_2_4-relatedword2,[Field-2]-3_2_4-relatedword3,[Field-2]-3_2_1-relatedword1,[Field-2]-3_2_1-relatedword2,[Field-2]-3_2_1-relatedword3,[Field-2]-3_2_6-relatedword1,[Field-2]-3_2_6-relatedword2,[Field-2]-3_2_6-relatedword3,[Field-2]-3_3_3-relatedword1,[Field-2]-3_3_3-relatedword2,[Field-2]-3_3_3-relatedword3,[Field-2]-3_3_5-relatedword1,[Field-2]-3_3_5-relatedword2,[Field-2]-3_3_5-relatedword3,[Field-2]-3_3_6-relatedword1,[Field-2]-3_3_6-relatedword2,[Field-2]-3_3_6-relatedword3,LangSpoken,Lang_0-5,Lang_6-12,Lang_13-18,Eng_classes,Eng_classes_time,Eng_classes_amount,Caregivers_speak_Eng,Eng_travel,Eng_country
first,sp1,Female,25,Yes,Cobija,Dormir,Descansar,Reflejo,Limpio,Bonito,Ruidosa,Limpiar,Piso,Sucio ,Escoba,Detergente ,Ingredientes,Utensilios ,Festejo,Caliente,Elegante,Ropa,Dinero,Mandado,Necesidades ,Venta,Ahorrar ,Dinero,Dinero,Lujoso,Grande,Hielo,Frio,Coca-cola,Res,Sabor,Platillo,Lechuga,Verduras ,Saludable,Futbol,Pelo ,Mitad,Ejercicio ,Cansancio ,Fuerte,Fútbol ,Deportes,Justo,Dolor,Venda,Util,Toser,Gripa,Medicina,Ejercicio ,Dieta,Bienestar,Manga larga,Atuendo,Vestir,Cabeza,Sombra,Calor,Corta,Vestir,Atuendo,Viaje ,Maletas,Cielo,Oceano,Arena,Sol,Prestar,Vivienda,Tiempo,Agua,Pariaguas,Charcos,Luna ,Calor,Atardecer,Suéter ,Cobija ,Nieve,banana,banana,banana,Canvas,Materials,Paint,Bed,Notebook,White,Clean,Clothes,Detergent,Dirty ,Bin,Disposable,Clean,Dirt,Chore,Clean,Detergent ,Chore,Friendly ,Helpful ,Store,Dollar,Affordable ,Money,Savings,Salary,Bank,Fried ,Wings,Food,Drunk,Wheat,Chug,Cake,Sweet,Chocolate,Basketball ,Tennis,Soccer,Medal,Effort ,Win,Team,Sports,Win,Hospital,Bones,Expensive,Hurt,Discomfort ,Medicine,Clinic,Experience,Care,College ,Crew neck,Cotton,Fabric,Length ,Formal,Jeans,Comfortable ,Long,Car,Distance,Gasoline,Money,Quality,Expensive ,Housing ,Temporary ,Vacation,Cold,Snowman,White,Temperature ,Summer,Cooking,Turbines ,Chilly ,Storm,2,Spanish,Spanish ,Spanish,No,,,No,Yes,United States
first,sp2,Male,26,Yes,almohada,sabana,dormir,noche,baño,mirar,limpiar,mugre,ruido,escoba ,agua,trapo,comida,ruido,disfrutar,camisa,ropa,limpio,dinero,compras,senorita,walmart,dinero,menos,llanta,careterra,volante,fanta,coca cola,hielo,animal,cuchillo,sangre,saludable,tomate,lechuga,futbol,ref,fan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,hospital,enfermo,enfermedad,ensalada,agua,vida,azul,limpia,trabajo,sol,sudor,hombre,muchacha,corta,verde,viaje,dinero,transporte,arena,mar,sol,n/a,n/a,n/a,frio,paraguas,agua,calor,luz,bonito,hielo,chaqueta,chocolate,banana,banana,banana,color,paint,artist,bed,folded,linen,clothes,water,soap,banana peel,bag,truck,chore,cleaning,dust,clean,suds,sponge,shop,worker,immigrant,poor,sale,thrifty,job,worker,coins,roasted,dead,hot,burp,pee,foam,tiramisu,cookie,flan,toy,baseball,football,soccer,football,basketball,sport,game,playboy,bones,doctor,test,hurt,bang,blood,doctor,hospital,vaccine,casual,fabric,graphic,lady,fancy,red,belt,tight,nice,highway,car,steering wheel,groceries,purse,lipstick,house,hotel,cabin,cold,fresh,white,hot,summer,sweat,turbine,loud,cold,"Spanish, English","Spanish, English","Spanish, English","Spanish, English",Yes,All through school.,16,Yes,Yes,"United States, 26 years"
first,sp3,Male,25,Yes,Cobija ,Cuarto ,Dormir ,Reflexion ,Baño,Mirar,Limpieza,Tierra,Casa,Casa,Jabon ,Agua,Comer,Comida ,Almuerzo,Ropa ,Caliente ,Trabajo,Comprar,Cupones,Ofertas ,Quitar ,Barato ,Oferta ,Llantas,Gasolina ,Velocidad ,Soda,Azucar,Frio ,Pollo,Asar ,Carbon ,Tomate,Lechuga,Saludable,Futbol,Television ,Deporte,Ejercicio,Gimnasio ,Sudor ,Futbol,Jugador,Falta ,Enfermo,Huesos ,Hospital ,Fiebre ,Dolor,Medicina,Fruta ,Verdura ,Ejercicio ,Ropa,Pantalones,Zapatos,Sol,Calor ,Trabajar,Mujer ,Ropa,Zapatos ,Cielo ,Peligroso ,Volar ,Oceano,Arena, Verano ,Rentar ,Comprar ,Prestar ,Mojado,Fresco,Agua,Calor,Verano,Cielo,Invierno ,Diciembre,Hielo,Banana,Banana,Banana,House,Brush,Wall,Bed,Pillow,Sleep,Dryer,Clothes,Water,Dumpster,Bag,Landfill ,Clean,Broom,Floor,Clean,Water,Soap,Customer,Nice,Helpful,Sale,Affordable ,Coupon ,Work,Bank,Green,Meat,Food,Fried,Drunk,Alcohol,Party,Sugar,Cake,Ice cream,Sports,Bounce,Round,Sports,Trophy,Stadium,Sport,Team,Competition ,Hospital,Injury,Doctor ,Medicine,Injury,Discomfort ,Doctor ,Hospital ,Expensive ,Clothes,Shoes,Pants,Clothes ,Party,Woman,Clothes,Jeans,Blue,Car,Roads,Traffic,Store,Hold,Carry,Hotel,Night,Rent,Ice,Winter,December,Summer,Hot,Sun,Outside,Air,Cool,"English, spanish","English, Spanish ","English, Spanish ","English, Spanish ",No,,,No,No,
first,sp4,Female,23,Yes,dormir ,sabana,almuada,reflecion,vanidad,maquillaje,limpiar,trabajo,abuela,quiacer,jabon,trapiar,comer,bebir,almuerzar,plancha,burro,ropa,ropa,mercado,negocio,reducir,bajar,peso,mucho,dinero,demasiado,bebida,vaso,azucar,vaca,pollo,sangre,saludable,verde,verdura,futbol,afuera,goal,musculos ,experencia,estudiante,partido,juego,canasta,matador,vaquero,rojo,pandemia ,muerte,hospital,bien,vegetales,fruita,planchar,lavar,accomodar,Mexicano,Zapatos,Orgullo,larga,fabrica,tienda,viajar,volar,cielo,arena,comida,familia,dinero,apartamento,faltar,aqua,fresco,humido,luna,amarillo,calor,abrigo,fresco,refrio,banana,banana,banana,creative,brush,paints,blankets,bed,pillows,dish,laundry,broken,cat ,rat,raccoon,broom,clean,dust,shower,laundry,bath ,grocery,checkout ,money,clothes,production,food,poor,rich,green,breast,thigh,drumstick,bubbly,yeast,fermented,crepes,chocolate,ice cream,softball,basketball,court,soccer,football,basketball,football,soccer,whore,doctor,scan,tumor,muscles,emotional,trauma,doctor,pediatrician,gynocologist,top,blouse,clothing,wedding,pretty,prom,black,jeans,leggings,car,accident,travel,grocery,recycle,clothes,house,cabin,hotel,cold,scary,ice,sun,summer,desert,howling,cold,refreshing,English and Spanish ,Spanish and English,Spanish and English ,English ,Yes,Elementary through College,16 years,Yes,Yes,"I live in the United States, have lived for 23 years"
first,sp5,Female,18,Yes,Comoda,Almohada,Cobija,Brillo,Reflejo,Limpio,Alfrombra,Polvo,Pelos,Mesa,Piso,Platos,Carne,Sarten,Vegetales,Ropa,Plancha,Caliente,Frijoles,Latas,Pan,Ropa,Tienda,Descuento,Ropa,Comida,Prestigio,Coca-Cola,Vaso,Gas,Comida,Res,Bistec,Lechuga,Jitomate,Cebolla,Futbol,Pasto,Comida,Futbol,Deporte,Pelota,Futbol,Deporte,Rayado,Roto,Hueso,Yeso,Gripa,Fiebre,Dolor,Comida,Fruta,Pan,Ropa,Rojo,Playera,Vaquero,Sol,Sombra,Ropa,Rosa,Planchar,Volar,Aeropuerto,Pasaporte,Arena,Sol,Mar,Departamento,Carro,Piso,Mojar,Paraguas,Gris,Playa,Arena,Calor,Nieve,Azul,Temblar,banana,banana,banana,Paint,Canvas,Oil,Bed,Blanket,White,Clothes,Laundry,Clean,Smell,Grey,Bag,Floor,Clean,Dirty,Clothes,Blanket,Laundry,Assistant,Manager,Customer,Clothes,Deal,Sale,Bank,Dollar,Gold,Boiled,Tasty,Shredded ,Yellow,Cold,Glass,Chocolate,Pie,Cake,Roll,Red,Shiny,Tournament,Sport,Football,Boy,Football,Score,Bone,Broken,Accident ,Hurt,Cramp,Medicine,Doctor,Bone,Massage ,Clothes,Hole,Mall,Flowy,Flowers,Short,Jeans,Sweatpants,Black,Car,Around,License ,Money,Lipstick,Wallet,Money,Apartment,Prestigie ,White,Cold,Freeze,Hot,Winter,Fire,Chicago,Blow,Hard,English and Spanish,English and Spanish,Spanish,English and Spanish,Yes,Elementary and Middle School,7,No,Yes,"USA, I was born there, left when I was 4 and came back at 15"
first,sp6,Female,25,Yes,dormir,sueño,tranquilo,refleccion,cara,cuerpo,aseo,limpiar,oficio,aseo,oficio,fabuloso,cocina,cocinero,comida,oficio,ropa,camisas,bodega,comprar,dinero,descuento,comprar,dinero,costoso,dinero,fino,gaseosa,bebida,hielo,venado,puerco,comida,saludable,comida,lechuga,juego,futbol,jugadores,deportes,pesas,juego,futbol,juego,partido,,,,enfermera,hospital,covid-19,salud,comida,bueno,pantalones,ropa,blusa,cachucha,cabeza,sol,vestido,mujer,linda,cielo,volar,grande,mar,brisa,sol,rentar,carro,temporario,mojado,triste,peligroso,caliente,lindo,playa,hielo,nieve,clima,banana,banana,banana,art,picture,paint,bed,paper,white,dryer,laundry,clothes,garbage,recycling,clean,clean,broom,housework,clean,clothes,dishes,worker,store,money,money,expensive,value,save,spend,bank,healthy,protein,meat,alcohol,delicious,drunk,sweet,delicious,unhealthy,basketball,football,baseball,medal,ring,winner,game,sport,rules,health,hospital,sick,relief,unhappy,unhealthy,doctor,healthy,authority,comfortable,favorite,clothes,skirt,shirt,blouse,clothes,leg,comfortable,car,road,vehicle,shopping,money,portable,hotel,airbnb,rental,melt,white,cold,cold,weather,Sun,breeze,cold,lovely,"Spanish, English",Spanish,Spanish,Spanish,Yes,Preschool through college,16 years,Yes,No,
first,sp7,Male,24,Yes,almuada,ropa,carsetas,yo,claro,limpio,machina,casa,limpiar,machina,mesa,cama,mama,rico,bien,ropa,camisa,trabajo,ropa,lindo,caro,barato,ropa,dinero,rojo,deportivo,ruedas,soda,agua,cafe,roja,vaca,comida,salud,verde,pepino,quebrado,roto,futbol,deporte,amarillo ,rapido,futbol,amarillo,rojo,bolsa,cartera,cafe,salud,COVID,hospital,ensalada,salud,vida,planchada,blanco,azul,mejicano,amarillo,decoracion,mujer,linda,ropa,volar,pasaje,pais,sol,calor,agua,casa,departamento,ayuda,mojado,hellado,frio,fuerte,calor,rojo,nieve,poleron,camisa,banana,banana,banana,red,wet,old,white,clean,pressed,clothes,laundry,water,dirty,roach,house,clean,mop,broom,clean,clothes,house,black,blue,target,clothes,winter,house,watch,video,job,white,food,good,fat,carb,bad,yummy,food,chocolate,soccer,game,white,win,trophy,gold,soccer,football,game,medical,doctor,hospital,red,hurt,swollen,doctor,medical,health,red,blue,clean,women,friend,sun,trousers,steam ,clean,car,speed,wheel,money,wallet,luggage,camp,wood,fire,cold,ice,wet,hot,sun,oven,cold,break,fast,English and Spanish,English and Spanish,English and Spanish,English and Spanish,Yes,Pre-School,4,Yes,Yes,United Kingdom for about a week
first,sp8,Male,35,Yes,dormir,almohada,descansar,reflejo,bano,preparar,polvo,limpiar,ruido,trapeado,escoba,polvo,comida,condimento,aroma,ropa,vapor,arrugas,comida,dinero,venta,peso,valor,precio,gasolina,viajar,rapido,hielo,sabor,dulce,pollo,res,puerco,lechuga,tomate,aderezo,futbol,politico,deportes,deportes,salud,boxeo,partido,tarjeta,deportes,herida,dolor,hospital,salud,tos,gripe,comida,ejercicio,feliz,manga,botones,collar,gorro,Mexico,charro,ropa,vestido,mujer,cielo,viajar,volar,mar,arena,sol,dinero,apartamento,carro,agua,frio,nubes,calor,brillante,verano,hielo,invierno,nieve,banana,banana,banana,brush,artist,easel,sleep,fold,bed,clothes,clean,detergent,bag,smell,recycle,broom,dust,clean,soap,scrub,rinse,money,service,receipt,money,savings,affordable,cash,finance,savings,cluck,beak,egg,alcohol,hops,flavor,coffee,sweet,pastry,sports,kids,roll,sports,winner,trophy,guitar,record,games,doctor,dentist,bones,discomfort,injury,doctor,doctor,hospital,clinic,cotton,collar,white,woman,long,short,clothes,laundry,iron,car,gasoline,commute,plastic,paper,woman,rent,live,room,white,cold,winter,summer,fire,wave,sound,breeze,annoying,English and Spanish,Spanish and English,Spanish and English,Spanish and English,Yes,Once I started elementary school.,From 1st grade until 12th grade.,Yes,Yes,I've lived in the USA my whole life apart from summers in Mexico when I was young.
first,sp9,Female,22,Yes,cobija,almohada,descanzo,belleza,reflejo,cuarto,carpeta,casa,limpieza,jabon,guantes,escoba,comida,navaja,caliente,ropa,plancha,arrugas,ropa,comida,dinero,menos,venta,tienda,dificil,alcanzar,dinero,dulce,agua,restaurante,asada,cocinar,condimentos,dieta,comida,saludable,pelo,peinado,estilista,deporte,juego,lider,juego,partido,trabajo,huezos,hospital,enfermo,doctor,medicina,fiebre,ejercisio,dieta,doctor,ropa,tienda,comprar,cabeza,tienda,estilo,ropa,dinero,tienda,viaje,nubes,cielo,soleado,oceano,tierra,trabajo,dinero,tiempo,agua,tierra,nubes,caliente,brilloso,estrella,invierno,chamarra,hielo,banana,banana,banana,utensils,brushes,learning,bed,store,warm,clean,clothing,soap,dirty,bag,clean,clean,broom,dirt,scrub,clean,soap,cashier,associate,work,sale,cost,money,cash,buy,save,eggs,bird,wings,liquor,party,store,food,baking,sweet,game,round,play,win,title,honor,game,relationship,enemy,doctor,hospital,bones,hurt,hospital,injury,doctor,hospital,patient,clothing,store,white,clothing,outfit,store,clothing,outfit,store,car,travel,places,money,buy,store,house,camp,forest,cold,ice,winter,warm,toast,oven,strong,force,earth,"English, Spanish","English, Spanish","English, Spanish","English, Spanish",No,,,No,No,
first,sp10,Female,29,Yes,dormir,descanso,almohada,ver,vanidad,baño,limpiar,tierra,basura,mantener,casa,trabajo,comida,familia,receta,arrugas,plancha,caliente,comprar,dinero,comida,reducción,descuento,oferta,fino,comprar,bonito,dulce,azucar,tomar,comer,asador,animal,lechuga,tomate,saludable,jugar,amigos,equipo,juego,equipo,mejorar,juego,justo,fútbol,accidente,caminar,recuperación,doctor,medicina,salud,verduras,fruta,cocinar,color,diseño,dinero,sol,protección,sombra,ropa,mujer,prenda,viaje,volar,aventura,relajar,mar,arena,pago,casa,dinero,mojar,fresco,relampagos,caliente,luz,día,nieve,chamarra,noche,banana,banana,banana,art,beauty,canvas,paper,bed,dryer,clothes,cycle,soap,waste,litter,junk,gather,clean,broom,clean,clothes,dishes,pay,change,market,inexpensive,simple,buy,spend,need,save,breast,cook,grill,drink,gathering,alcohol,pie,eat,cake,game,dance,catch,win,team,medal,team,game,fun,hospital,machine,look,doctor,medicine,sick,health,medicine,help,clothing,design,wear,party,gown,wedding,color,material,dress,car,bus,road,pack,plastic,paper,rent,home,vacation,cold,fun,sled,discomfort,sun,sweat,strong,breeze,cold,"English, Spanish",Spanish,"English, Spanish","English, Spanish",Yes,High school,4,Yes,Yes,"USA, I live here."
