word_ID,Eng_word,Span_translation,scene,theme,count,log_count,frequency_per_million,log_frequency,log_frequency_per_N,zipf,word_class,num_letters,N_orthographic_neighbors,N_phonemes,N_syllables,N_phonological_neighbors,familiarity,imageability,concreteness
1_1_3,painting,cuadro,moving_day,furniture_accessories,13729,4.137671,44.607617,1.659037,1.649441,4.649409,NOUN,6,5,6,2,6,6.318,6.656,4.576
1_1_5,sheets,sábanas,moving_day,furniture_accessories,1177,3.071145,3.824253,0.68343,0.582915,3.582547,NOUN,7,1,7,3,7,,,
1_1_6,washer,lavadora,moving_day,furniture_accessories,158,2.201397,0.513366,0.179944,-0.286833,2.710427,NOUN,8,0,8,4,4,,,
1_2_4,trash,basura,moving_day,chores,3539,3.549003,11.498751,1.096867,1.060773,4.060651,NOUN,6,4,6,3,9,6.371,,6.105
1_2_5,to sweep,barrer,moving_day,chores,595,2.775246,1.933246,0.467348,0.287016,3.286287,VERB,6,10,5,2,21,6.018,5.113,5.47
1_2_6,to wash,lavar,moving_day,chores,1326,3.122871,4.308376,0.724962,0.634641,3.634314,VERB,5,14,5,2,30,6.394,5.955,4.986
1_3_2,store clerk,vendedor,moving_day,shopping,2650,3.42341,8.610255,0.982735,0.93518,3.935016,NOUN,8,3,8,3,4,6.409,5.602,4.536
1_3_5,cheap,barato,moving_day,shopping,2359,3.372912,7.664751,0.937756,0.884682,3.884498,ADJECTIVE,6,6,6,3,13,,,
1_3_6,money,dinero,moving_day,shopping,53334,4.727012,173.29031,2.241273,2.238782,5.238774,NOUN,6,2,6,3,6,6.714,6.216,5.75
2_1_4,chicken,pollo,tailgate,food,3010,3.478711,9.77995,1.032617,0.990481,3.990337,NOUN,5,13,4,2,34,6.362,6.505,6.491
2_1_5,beer,cerveza,tailgate,food,4710,3.673113,15.303509,1.212281,1.184883,4.184791,NOUN,7,2,7,3,4,6.532,6.395,6.026
2_1_6,dessert,postre,tailgate,food,2267,3.355643,7.365829,0.922509,0.867413,3.867222,NOUN,6,5,6,2,10,6.159,6.261,5.42
2_2_1,ball,pelota,tailgate,sports,5390,3.731669,17.512933,1.267475,1.243439,4.243359,NOUN,6,5,6,3,8,6.519,6.211,5.92
2_2_4,championship,campeonato,tailgate,sports,18250,4.261287,59.297037,1.780296,1.773057,4.773033,NOUN,10,0,10,5,1,5.155,5.116,5.265
2_2_5,player,jugador,tailgate,sports,29855,4.475032,97.003454,1.991241,1.986802,4.986787,NOUN,7,2,7,3,5,5.957,5.975,4.762
2_3_3,X-ray,radiografía ,tailgate,health,529,2.724276,1.718802,0.434378,0.236046,3.235226,NOUN,11,0,11,5,3,3.561,3.15,6.108
2_3_5,pain,dolor,tailgate,health,20855,4.319231,67.761079,1.837343,1.831001,4.83098,NOUN,5,4,5,2,10,6.514,5.225,3.617
2_3_6,physician,médico,tailgate,health,23305,4.367468,75.721504,1.884917,1.879238,4.879219,ADJECTIVE,6,5,6,3,11,6.54,6.278,5.776
3_1_4,t-shirt,camiseta,spring_break,clothing,4354,3.638988,14.146811,1.180321,1.150758,4.150659,NOUN,8,2,8,4,3,6.604,6.528,6.368
3_1_5,dress,vestido,spring_break,clothing,9610,3.982769,31.224357,1.508184,1.494539,4.494494,NOUN,7,2,7,3,7,6.263,,6.076
3_1_2,pants,pantalones,spring_break,clothing,2818,3.450095,9.156112,1.006727,0.961865,3.961711,NOUN,10,0,10,4,0,,,
3_2_4,to drive,manejar,spring_break,traveling,3971,3.599009,12.902385,1.143089,1.110779,4.11067,VERB,7,3,7,3,9,5.774,3.914,3.416
3_2_1,bag,maleta,spring_break,traveling,1361,3.134177,4.422097,0.734167,0.645947,3.645628,NOUN,6,13,6,3,19,5.838,4.87,6.12
3_2_6,lodging,alojamiento,spring_break,traveling,2783,3.444669,9.042392,1.001837,0.956439,3.956283,NOUN,11,1,11,5,3,4.592,4.346,3.774
3_3_3,snow,nieve,spring_break,weather,9317,3.969323,30.272356,1.495161,1.481093,4.481046,NOUN,5,4,5,2,9,5.436,6.286,6.299
3_3_5,heat,calor,spring_break,weather,14880,4.172632,48.347392,1.693264,1.684402,4.684373,NOUN,5,5,5,2,8,6.715,5.708,4.062
3_3_6,wind,viento,spring_break,weather,20626,4.314436,67.017023,1.832618,1.826206,4.826185,NOUN,6,10,6,2,13,6.106,5.969,5.255
