"","word_ID","word","translation","scene","theme","count","log_count","frequency_per_million","log_frequency","log_frequency_per_N","zipf","word_class","num_letters","N_orthographic_neighbors","N_phonemes","N_syllables","N_phonological_neighbors","familiarity","imageability","concreteness","Block","List"
"1","1_1_1","cama","bed","moving_day","furniture_accessories",14008,4.146407,45.514131,1.667585,1.658177,4.658146,"NOUN",4,30,4,2,53,6.515,7,6.116,"Span","A"
"2","1_1_2","espejo","mirror","moving_day","furniture_accessories",8086,3.907787,26.272649,1.435727,1.419558,4.419504,"NOUN",6,6,6,3,14,5.513,5.595,6.345,"Span","A"
"3","1_1_4","aspiradora","vacuum cleaner","moving_day","furniture_accessories",79,1.90309,0.256683,0.099226,-0.58514,2.409397,"NOUN",10,0,10,5,2,NA,NA,NA,"Span","A"
"4","1_2_1","limpiar","to clean","moving_day","chores",2262,3.354685,7.349583,0.921665,0.866455,3.866263,"VERB",7,3,7,2,8,6.52,5.093,4.681,"Span","A"
"5","1_2_2","cocinar","to cook","moving_day","chores",1053,3.022841,3.421358,0.645556,0.534611,3.534199,"VERB",7,4,7,3,7,NA,NA,NA,"Span","A"
"6","1_2_3","planchar","to iron","moving_day","chores",124,2.09691,0.402895,0.147025,-0.39132,2.605192,"VERB",8,2,7,2,8,4.906,NA,5.603,"Span","A"
"7","1_3_1","tienda","store","moving_day","shopping",8073,3.907089,26.23041,1.435054,1.418859,4.418805,"NOUN",6,5,6,2,7,6.609,6.409,4.807,"Span","A"
"8","1_3_3","rebaja","discount","moving_day","shopping",2003,3.301898,6.508053,0.875527,0.813668,3.813451,"NOUN",6,11,6,3,15,NA,NA,NA,"Span","A"
"9","1_3_4","caro","expensive","moving_day","shopping",4797,3.68106,15.586185,1.219747,1.19283,4.19274,"ADJECTIVE",4,33,4,2,81,NA,NA,NA,"Span","A"
"10","2_1_1","refresco","soda","tailgate","food",677,2.83123,2.199676,0.505106,0.343,3.342359,"NOUN",8,2,8,3,4,NA,NA,NA,"Span","A"
"11","2_1_2","carne","meat","tailgate","food",24274,4.385159,78.869932,1.902383,1.896929,4.896911,"NOUN",5,7,5,2,14,6.506,6.228,5.643,"Span","A"
"12","2_1_3","ensalada","salad","tailgate","food",805,2.906335,2.615568,0.558177,0.418105,3.417566,"NOUN",8,4,8,4,6,6.575,6.146,5.114,"Span","A"
"13","2_2_2","partido","game","tailgate","sports",140725,5.148374,457.237013,2.66109,2.660144,5.660141,"NOUN",7,1,7,3,7,6.043,5.626,3.586,"Span","A"
"14","2_2_3","entrenador","coach","tailgate","sports",14078,4.148572,45.741572,1.669703,1.660342,4.660311,"NOUN",10,2,10,4,4,NA,NA,NA,"Span","A"
"15","2_2_6","<e1>rbitro","referee","tailgate","sports",4387,3.642267,14.254033,1.183385,1.154037,4.153938,"NOUN",7,2,7,3,6,NA,NA,NA,"Span","A"
"16","2_3_1","muleta","crutch","tailgate","health",1017,3.007748,3.304388,0.633911,0.519518,3.519091,"NOUN",6,8,6,3,11,NA,NA,NA,"Span","A"
"17","2_3_2","enfermarse","to get sick","tailgate","health",55,1.748188,0.178703,0.071405,-0.740042,2.252132,"VERB",10,2,10,4,4,NA,NA,NA,"Span","A"
"18","2_3_4","saludable","healthy","tailgate","health",2100,3.322426,6.823221,0.893386,0.834196,3.833989,"ADJECTIVE",9,2,9,4,4,6.416,6.037,5.669,"Span","A"
"19","3_1_1","camisa","shirt","spring_break","clothing",4224,3.625827,13.724421,1.168038,1.137597,4.137494,"NOUN",6,6,6,3,9,6.7,6.281,6.293,"Span","A"
