Participant,Gender,Age,SpanL1,LangSpoken,Lang_0.5,Lang_6.12,Lang_13.18,Eng_classes,Eng_classes_time,Eng_classes_amount,Caregivers_speak_Eng,Eng_travel,Eng_country,Word,word_lemma,AssociateNumber,Orig_Response,Response,Response_lemma,Response_Class,Relation_Type,Confidence,Comments,List,word_ID,translation,Block
sp101,Male,19,Yes,"Primarily spanish at home, English everywhere else. ",Spanish and English,Spanish and English,Spanish and English,Yes,All schoolwork,13,Yes,Yes,"United States, I live here. ",agua,agua,1,fresca,fresco,fresco,adjective,NA,NA,NA,A,r2_sp_a1,water,Span
sp102,Female,23,Yes,english and spanish ,both ,both,both ,No,,,Yes,Yes,america ,agua,agua,1,fresca ,fresco,fresco,adjective,NA,NA,NA,A,r2_sp_a1,water,Span
sp103,Female,24,Yes,Spanish English ,Spanish,Spanish,Spanish ,Yes,"Elementary school, high school",Unsure,No,No,,agua,agua,1,Saludable ,saludable,saludable,adjective,NA,NA,NA,A,r2_sp_a1,water,Span
sp104,Male,27,Yes,english and spanish,Spanish and English,Spanish and English,Spanish and English,Yes,All my life,12,No,No,,agua,agua,1,tomar,tomar,tomar,verb,NA,NA,NA,A,r2_sp_a1,water,Span
sp105,Male,25,Yes,"spanish, english","spanish, english","spanish, english","spanish, english",Yes,elementary school,3 years,Yes,Yes,I live in the USA... ,agua,agua,1,water,water,water,noun,NA,NA,Eng,A,r2_sp_a1,water,Span
sp106,Female,25,Yes,"Spanish, English","Spanish, English","Spanish, English","Spanish, English",No,,,Yes,No,,agua,agua,1,mar,mar,mar,noun,NA,NA,NA,A,r2_sp_a1,water,Span
sp107,Male,27,Yes,English and Spanish,spanish,spanish,English and Spanish,No,,,Yes,No,,agua,agua,1,fria,frio,frio,adjective,NA,NA,NA,A,r2_sp_a1,water,Span
sp108,Female,31,Yes,English and Spanish,"Spanish, English","Spanish, English","Spanish, English",No,,,Yes,Yes,United States - I live there,agua,agua,1,Bebida,bebida,bebida,noun,NA,NA,NA,A,r2_sp_a1,water,Span
sp109,Female,21,Yes,"English, Spanish","Spanish, English","Spanish, English","Spanish, English",No,,,No,Yes,n/a,agua,agua,1,azul,azul,azul,adjective,NA,NA,NA,A,r2_sp_a1,water,Span
sp110,Female,27,Yes,Spanish and English,2,2,2,No,,,Yes,No,,agua,agua,1,fresca,fresco,fresco,adjective,NA,NA,NA,A,r2_sp_a1,water,Span
sp111,Female,34,Yes,"Spanish, English",Spanish,Spanish,Spanish,Yes,High school,4,Yes,Yes,USA. 4 years,agua,agua,1,Vida,vida,vida,noun,NA,NA,NA,A,r2_sp_a1,water,Span
sp112,Female,19,Yes,english and spanish,2,2,2,No,,,Yes,Yes,I live in an English speaking country,agua,agua,1,lago,lago,lago,noun,NA,NA,NA,A,r2_sp_a1,water,Span
sp113,Female,24,Yes,spanish and english,spanish,spanish and english,both,No,,,No,No,,agua,agua,1,tomar,tomar,tomar,verb,NA,NA,NA,A,r2_sp_a1,water,Span
sp114,Female,21,Yes,"spanish, english, french ",spanish,"english, spanish","spanish, english, french",Yes,elementary school,12,Yes,Yes,United States,agua,agua,1,beber,beber,beber,verb,NA,NA,NA,A,r2_sp_a1,water,Span
sp115,Male,25,Yes,English and Spanish,English and Spanish,English and Spanish,English and Spanish,Yes,"Elementary, middle school, high school, college",12,No,No,,agua,agua,1,botella,botella,botella,noun,NA,NA,NA,A,r2_sp_a1,water,Span
sp116,Male,20,Yes,"English, Spanish",1,1,1,Yes,Elementary ,1,Yes,Yes,"United States, I live here now",agua,agua,1,sed,sed,sed,noun,NA,NA,NA,A,r2_sp_a1,water,Span
