"","source","target","weight"
"1","aarbitro","aeropuerto",1
"2","aarbitro","arbol",1
"3","aarbitro","baloncesto",2
"4","aarbitro","bueno",1
"5","aarbitro","camisa",1
"6","aarbitro","campeonato",2
"7","aarbitro","campeoon",1
"8","aarbitro","campo",3
"9","aarbitro","ceesped",1
"10","aarbitro","cocina",1
"11","aarbitro","comida",1
"12","aarbitro","deporte",13
"13","aarbitro","entrenador",1
"14","aarbitro","equipo",3
"15","aarbitro","espectador",1
"16","aarbitro","fuutbol",10
"17","aarbitro","fuutbol americano",2
"18","aarbitro","ganar",1
"19","aarbitro","grupo",1
"20","aarbitro","hombre",1
"21","aarbitro","juego",7
"22","aarbitro","jugador",4
"23","aarbitro","jugar",5
"24","aarbitro","liider",1
"25","aarbitro","mannana",1
"26","aarbitro","otonno",1
"27","aarbitro","partido",7
"28","aarbitro","pelota",2
"29","aarbitro","playa",1
"30","aarbitro","que",1
"31","aarbitro","regla",1
"32","aarbitro","saber",1
"33","aarbitro","silbar",2
"34","aarbitro","sol",2
"35","alojamiento","ajo",1
"36","alojamiento","aloe",1
"37","alojamiento","alquilar",1
"38","alojamiento","amorar",1
"39","alojamiento","atender",1
"40","alojamiento","avioon",2
"41","alojamiento","ayuda",2
"42","alojamiento","ayudar",1
"43","alojamiento","banno",1
"44","alojamiento","bien",1
"45","alojamiento","bueno",1
"46","alojamiento","cama",6
"47","alojamiento","cambio",1
"48","alojamiento","casa",6
"49","alojamiento","cita",1
"50","alojamiento","colegio",1
"51","alojamiento","comida",2
"52","alojamiento","cuaderno",1
"53","alojamiento","cuarto",1
"54","alojamiento","cuidado",1
"55","alojamiento","dinero",2
"56","alojamiento","discapacitado",1
"57","alojamiento","divertido",1
"58","alojamiento","dormitorio",1
"59","alojamiento","ducha",1
"60","alojamiento","escuela",1
"61","alojamiento","especia",1
"62","alojamiento","estancia",1
"63","alojamiento","familia",1
"64","alojamiento","gracias",1
"65","alojamiento","habitacioon",4
"66","alojamiento","hola",1
"67","alojamiento","hotel",12
"68","alojamiento","lavar",1
"69","alojamiento","maleta",1
"70","alojamiento","malo",1
"71","alojamiento","necesidad",1
"72","alojamiento","paciente",1
"73","alojamiento","pagar",1
"74","alojamiento","problema",1
"75","alojamiento","reserva",2
"76","alojamiento","reservacion",1
"77","alojamiento","residencia",1
"78","alojamiento","restaurante",1
"79","alojamiento","servicio",1
"80","alojamiento","simpaatico",1
"81","alojamiento","vacacioon",3
"82","alojamiento","viajar",4
"83","alojamiento","viaje",4
"84","alojamiento","vivir",1
"85","alquilar","agua",1
"86","alquilar","alquiler",1
"87","alquilar","amigo",2
"88","alquilar","apartamento",14
"89","alquilar","carro",2
"90","alquilar","casa",23
"91","alquilar","ciudad",1
"92","alquilar","coche",4
"93","alquilar","cuadro",1
"94","alquilar","departamento",2
"95","alquilar","dinero",17
"96","alquilar","dormitorio",1
"97","alquilar","escuela",1
"98","alquilar","esquii",1
"99","alquilar","famillia",1
"100","alquilar","hermana",1
"101","alquilar","hola",1
"102","alquilar","hotel",3
"103","alquilar","jefe",1
"104","alquilar","mes",1
"105","alquilar","metroopolis",1
"106","alquilar","pagar",3
"107","alquilar","peliicula",1
"108","alquilar","preestamo",1
"109","alquilar","quedar",2
"110","alquilar","rentar",1
"111","alquilar","ropa",2
"112","alquilar","tiempo",1
"113","alquilar","trabajo",1
"114","alquilar","tren",1
"115","alquilar","vivir",1
"116","aspiradora","aire",1
"117","aspiradora","alfombra",5
"118","aspiradora","aspirar",1
"119","aspiradora","basura",2
"120","aspiradora","bonito",1
"121","aspiradora","carpeta",1
"122","aspiradora","carpeto",1
"123","aspiradora","casa",12
"124","aspiradora","cavio",1
"125","aspiradora","cocina",1
"126","aspiradora","cuadro",2
"127","aspiradora","cuarto",1
"128","aspiradora","dyson",1
"129","aspiradora","enojado",1
"130","aspiradora","esperar",1
"131","aspiradora","familia",1
"132","aspiradora","fuerte",1
"133","aspiradora","habitacioon",1
"134","aspiradora","lavar",1
"135","aspiradora","limpiar",15
"136","aspiradora","limpio",5
"137","aspiradora","maaquina",1
"138","aspiradora","magniifico",1
"139","aspiradora","meedico",1
"140","aspiradora","no",1
"141","aspiradora","ordenado",1
"142","aspiradora","organizar",1
"143","aspiradora","pasar",1
"144","aspiradora","piso",2
"145","aspiradora","playa",1
