"","source","target","weight"
"1","aarbitro","amarillo",2
"2","aarbitro","animal",1
"3","aarbitro","baloon",1
"4","aarbitro","bola",1
"5","aarbitro","campeonato",1
"6","aarbitro","canasta",1
"7","aarbitro","cancha",2
"8","aarbitro","comercio",1
"9","aarbitro","competencia",1
"10","aarbitro","cosa",1
"11","aarbitro","deporte",15
"12","aarbitro","dinero",1
"13","aarbitro","direccioon",1
"14","aarbitro","entrenador",1
"15","aarbitro","equipo",3
"16","aarbitro","evaluacioon",1
"17","aarbitro","evaluador",2
"18","aarbitro","falta",1
"19","aarbitro","fuutbol",25
"20","aarbitro","gorra",1
"21","aarbitro","hombre",2
"22","aarbitro","idea",1
"23","aarbitro","juego",17
"24","aarbitro","juez",1
"25","aarbitro","jugador",6
"26","aarbitro","jugar",2
"27","aarbitro","justo",2
"28","aarbitro","liga",1
"29","aarbitro","lucha",1
"30","aarbitro","lugar",1
"31","aarbitro","maestro",1
"32","aarbitro","mediador",1
"33","aarbitro","negro y blanco",1
"34","aarbitro","papel",1
"35","aarbitro","partido",10
"36","aarbitro","pelea",1
"37","aarbitro","pelota",2
"38","aarbitro","persona",2
"39","aarbitro","pitar",1
"40","aarbitro","pito",1
"41","aarbitro","profesional",1
"42","aarbitro","profesor",1
"43","aarbitro","puerta",1
"44","aarbitro","puntaje",2
"45","aarbitro","rayado",1
"46","aarbitro","regla",2
"47","aarbitro","reporte",1
"48","aarbitro","rojo",2
"49","aarbitro","tarjeta",2
"50","aarbitro","trabajo",1
"51","alojamiento","accesibilidad",1
"52","alojamiento","acomodacioon",3
"53","alojamiento","acomodar",1
"54","alojamiento","acomodo",1
"55","alojamiento","adaptar",1
"56","alojamiento","agua",1
"57","alojamiento","albergue",1
"58","alojamiento","alojar",1
"59","alojamiento","amable",1
"60","alojamiento","apartamento",2
"61","alojamiento","bonito",1
"62","alojamiento","bosque",1
"63","alojamiento","calor",1
"64","alojamiento","cama",6
"65","alojamiento","cambio",1
"66","alojamiento","capacidad",1
"67","alojamiento","casa",12
"68","alojamiento","comida",1
"69","alojamiento","cuarto",2
"70","alojamiento","cubierta",1
"71","alojamiento","descanso",3
"72","alojamiento","dinero",2
"73","alojamiento","distante",1
"74","alojamiento","dormir",2
"75","alojamiento","dormitorio",1
"76","alojamiento","echar",1
"77","alojamiento","especial",1
"78","alojamiento","estadiia",1
"79","alojamiento","explorar",2
"80","alojamiento","familia",2
"81","alojamiento","felicidad",1
"82","alojamiento","gente",1
"83","alojamiento","gobierno",1
"84","alojamiento","gratis",1
"85","alojamiento","habitacioon",5
"86","alojamiento","hawaii",1
"87","alojamiento","hogar",5
"88","alojamiento","hospedaje",3
"89","alojamiento","hospitalidad",1
"90","alojamiento","hostal",2
"91","alojamiento","hotel",13
"92","alojamiento","hueesped",1
"93","alojamiento","inclusivo",1
"94","alojamiento","internet",1
"95","alojamiento","lejos",1
"96","alojamiento","limpio",1
"97","alojamiento","maleta",1
"98","alojamiento","mejorar",1
"99","alojamiento","motel",2
"100","alojamiento","mudanza",1
"101","alojamiento","mueble",1
"102","alojamiento","necesitado",1
"103","alojamiento","negocio",1
"104","alojamiento","noche",1
"105","alojamiento","normal",1
"106","alojamiento","posada",1
"107","alojamiento","prueba",1
"108","alojamiento","refugio",2
"109","alojamiento","relajante",1
"110","alojamiento","renta",1
"111","alojamiento","rentar",2
"112","alojamiento","resguardar",1
"113","alojamiento","saabana",1
"114","alojamiento","salud",1
"115","alojamiento","seguridad",1
"116","alojamiento","sin hogar",1
"117","alojamiento","sitio",1
"118","alojamiento","soledad",1
"119","alojamiento","soporte",1
"120","alojamiento","tipo",1
"121","alojamiento","trabajo",1
"122","alojamiento","universidad",1
"123","alojamiento","vacacioon",6
"124","alojamiento","viajar",3
"125","alojamiento","viaje",4
"126","alojamiento","visita",1
"127","alojamiento","vivienda",1
"128","alquilar","amigable",1
"129","alquilar","apartamento",9
"130","alquilar","arrendar",1
"131","alquilar","ayuda",1
"132","alquilar","banco",1
"133","alquilar","cabanna",1
"134","alquilar","cama",1
"135","alquilar","caro",2
"136","alquilar","carro",12
"137","alquilar","casa",18
"138","alquilar","cheque",1
"139","alquilar","comprar",2
"140","alquilar","cosa",1
"141","alquilar","dar",1
"142","alquilar","deber",1
"143","alquilar","departamento",3
"144","alquilar","deuda",1
"145","alquilar","difiicil",1
"146","alquilar","dinero",12
"147","alquilar","divertido",1
"148","alquilar","duenno",2
"149","alquilar","edificio",1
"150","alquilar","estrees",1
"151","alquilar","faltar",1
"152","alquilar","familia",1
"153","alquilar","feliz",1
"154","alquilar","finito",1
"155","alquilar","guardar",1
"156","alquilar","herramienta",1
"157","alquilar","hogar",1
"158","alquilar","mantener",1
"159","alquilar","mensual",1
"160","alquilar","pagar",1
"161","alquilar","pago",3
"162","alquilar","peliicula",3
"163","alquilar","permito",1
"164","alquilar","persona",2
"165","alquilar","piso",1
"166","alquilar","preestamo",1
"167","alquilar","prestado",1
"168","alquilar","prestar",5
"169","alquilar","propiedad",1
"170","alquilar","propietario",1
"171","alquilar","renta",3
"172","alquilar","rentar",8
"173","alquilar","sostener",1
"174","alquilar","teleefono",1
"175","alquilar","temporario",2
"176","alquilar","tiempo",3
"177","alquilar","tienda",2
"178","alquilar","trabajo",5
"179","alquilar","traje",1
"180","alquilar","viajar",1
"181","alquilar","vivienda",2
"182","alquilar","zapato",1
"183","aspiradora","abuela",1
"184","aspiradora","aire",1
