"","node"
"1","agua"
"2","alcohol"
"3","arena"
"4","banco"
"5","carro"
"6","casa"
"7","comida"
"8","deporte"
"9","descuento"
"10","doctor"
"11","dormir"
"12","dulce"
"13","ejercicio"
"14","escoba"
"15","foto"
"16","fuutbol"
"17","hospital"
"18","hotel"
"19","lechuga"
"20","medicina"
"21","mujer"
"22","reflejo"
"23","ropa"
"24","soda"
"25","sucio"
"26","verano"
"27","viaje"
"28","volar"
"29","alberca"
"30","azul"
"31","bannar"
"32","banno"
"33","beber"
"34","bebida"
"35","bolsa"
"36","botella"
"37","cafee"
"38","caliente"
"39","claro"
"40","comida"
"41","divertido"
"42","ducha"
"43","fresco"
"44","frio"
"45","hidratacioon"
"46","hidratar"
"47","hielo"
"48","huumedo"
"49","jamaica"
"50","jugo"
"51","lago"
"52","lavar"
"53","leche"
"54","liiquido"
"55","limpiar"
"56","limpio"
"57","lluvia"
"58","mar"
"59","mojado"
"60","nadar"
"61","oceeano"
"62","pez"
"63","piscina"
"64","playa"
"65","potable"
"66","refrescante"
"67","refresco"
"68","rico"
"69","riio"
"70","saludable"
"71","sed"
"72","soda"
"73","sol"
"74","tibio"
"75","tomado"
"76","tomar"
"77","vacacioon"
"78","vaso"
"79","vida"
"80","adictivo"
"81","alcohol"
"82","alcohoolico"
"83","algodoon"
"84","amigo"
"85","antro"
"86","ardiente"
"87","bailar"
"88","bar"
"89","blanco"
"90","borrachera"
"91","borracho"
"92","brazo"
"93","cabeza"
"94","cerveza"
"95","comer"
"96","cruda"
"97","destructivo"
"98","doler"
"99","don julio"
"100","drink"
"101","drunk"
"102","ebrio"
"103","emborrachar"
"104","enfermo"
"105","espirita"
"106","fiesta"
"107","friio"
"108","fuerte"
"109","gin"
"110","hediondo"
"111","humo"
"112","licor"
"113","mal"
"114","malo"
"115","margarita"
"116","mezcal"
"117","moonshine"
"118","obesidad"
"119","padre"
"120","party"
"121","peda"
"122","pierna"
"123","poco"
"124","ron"
"125","sanar"
"126","sangriia"
"127","shot"
"128","sustancia"
"129","tequila"
"130","tirita"
"131","tonic"
"132","trabajo"
"133","trago"
"134","veneno"
"135","vicio"
"136","vino"
"137","vodka"
"138","whiskey"
"139","afuera"
"140","agua"
"141","amarillo"
"142","batalla"
"143","calor"
"144","cangrejo"
"145","caracol"
"146","carro"
"147","castillo"
"148","coco"
"149","comezoon"
"150","concha"
"151","deporte"
"152","desierto"
"153","diversioon"
"154","eagles"
"155","espectaaculo"
"156","estadio"
"157","evento"
"158","fannatico"
"159","fuutbol"
"160","gente"
"161","grano"
"162","its always sunny in philadelphia"
"163","juego"
"164","jugar"
"165","material"
"166","ninno"
"167","pegajoso"
"168","pelota"
"169","pescado"
"170","piedra"
"171","polvo"
"172","roca"
"173","sal"
"174","sandalia"
"175","suave"
"176","textura"
"177","tierra"
"178","tortuga"
"179","valle"
"180","verano"
"181","vidrio"
"182","viento"
"183","vooleibol"
"184","zapato"
"185","ahorro"
"186","alto"
"187","banquero"
"188","cajero"
"189","cajero automaatico"
"190","cheque"
"191","chiquito"
"192","choro"
"193","cliente"
"194","coomodo"
"195","creedito"
"196","cuenta"
"197","deebito"
"198","depoosito"
"199","depositar"
"200","deuda"
"201","dinero"
"202","dolor"
"203","domingo"
"204","edificio"
"205","efectivo"
"206","estafa"
"207","fila"
"208","financia"
"209","fraude"
"210","gobierno"
"211","grande"
"212","guardia"
"213","institucioon"
"214","interees"
"215","interesar"
"216","inversioon"
"217","liinea"
"218","metal"
"219","moneda"
"220","narco"
"221","negocio"
"222","oro"
"223","pagar"
"224","parque"
"225","persona"
"226","peso"
"227","plata"
"228","plaza"
"229","preestamo"
"230","puerta"
"231","retiro"
"232","salvar"
"233","seguridad"
"234","seguro"
"235","sentar"
"236","silla"
"237","sorana"
"238","tarjeta"
"239","transferencia"
"240","verde"
"241","aseguranza"
"242","asiento"
"243","auto"
"244","autobuus"
"245","automoovil"
"246","avioon"
"247","bicicleta"
"248","calle"
"249","camino"
"250","carcacha"
"251","caro"
"252","carretera"
"253","coche"
"254","conducir"
"255","eleectrico"
"256","estacionamiento"
"257","ferrari"
"258","gas"
"259","gasolina"
"260","gasolinera"
"261","licencia"
"262","llanta"
"263","llave"
"264","lujo"
"265","manejar"
"266","moovil"
"267","moto"
"268","motor"
"269","necesario"
"270","nuevo"
"271","pequenno"
"272","raapido"
"273","rojo"
"274","rueda"
"275","suv"
"276","tapete"
"277","timoon"
"278","transportar"
"279","transporte"
"280","tren"
"281","troca"
"282","uutil"
"283","vehiiculo"
"284","velocidad"
"285","ventana"
"286","viajar"
"287","viaje"
"288","volante"
"289","albergue"
"290","amor"
"291","apartamento"
"292","bien"
"293","caalido"
"294","cama"
"295","carpeta"
"296","casuela"
"297","choza"
"298","ciudad"
"299","cocina"
"300","cuarto"
"301","descansar"
"302","domicilio"
"303","dormir"
"304","dormitorio"
"305","escuela"
"306","familia"
"307","felicidad"
"308","habitacioon"
"309","hogar"
"310","hotel"
"311","jardiin"
"312","kid"
"313","lavanderiia"
"314","limpieza"
"315","mamaa"
"316","mesa"
"317","mueble"
"318","papa"
"319","patio"
"320","perro"
"321","privado"
"322","relajar"
"323","renta"
"324","rentar"
"325","residencia"
"326","sala"
"327","salvo"
"328","techo"
"329","tele"
"330","visita"
"331","yarda"
"332","abuelita"
"333","abundante"
"334","aguacate"
"335","almuerzo"
"336","anticucho"
"337","arroz"
"338","bocadillo"
"339","burrito"
"340","buscar"
"341","caldo"
"342","carne"
"343","casero"
"344","cena"
"345","chef"
"346","cilantro"
"347","cocinar"
"348","compra"
"349","consumir"
"350","cuchara"
"351","cuchillo"
"352","delicioso"
"353","desayuno"
"354","dulce"
"355","empanada"
"356","enchilada"
"357","fresa"
"358","frijol"
"359","fruta"
"360","gastronomiia"
"361","hambre"
"362","hamburguesa"
"363","huevo"
"364","lleno"
"365","lonche"
"366","manzana"
"367","palto"
"368","pan"
"369","picante"
"370","picaroon"
"371","picoso"
"372","pizza"
"373","plaatano"
"374","plato"
"375","pollo"
"376","postre"
"377","restaurante"
"378","sope"
"379","sostener"
"380","sostenimiento"
"381","sushi"
"382","sustento"
"383","taco"
"384","tenedor"
"385","torta"
"386","verdura"
"387","actividad"
"388","arena"
"389","atleetico"
"390","atleta"
"391","baasquetbol"
"392","baloncesto"
"393","basquet"
"394","beeisbol"
"395","bote"
"396","box"
"397","bus"
"398","camiseta"
"399","campo"
"400","cancha"
"401","cansado"
"402","chavo"
"403","chivas"
"404","correr"
"405","deportista"
"406","documento"
"407","ejercicio"
"408","energiia"
"409","entrenar"
"410","equipo"
"411","fuerza"
"412","fuutbol americano"
"413","gol"
"414","golf"
"415","golpear"
"416","hombre"
"417","importar"
"418","jugador"
"419","messi"
"420","movimiento"
"421","mundial"
"422","muusculo"
"423","natacioon"
"424","partido"
"425","punto"
"426","rapidez"
"427","robado"
"428","salud"
"429","selecioon"
"430","sudar"
"431","sudor"
"432","televisioon"
"433","tenis"
"434","tigre"
"435","trofeo"
"436","zapatilla"
"437","abrigo"
"438","accesible"
"439","ahorrar"
"440","bajo"
"441","banco"
"442","barata"
"443","barato"
"444","bueno"
"445","comprar"
"446","cosa"
"447","cupoon"
"448","deduccioon"
"449","especial"
"450","feliz"
"451","gasto"
"452","liquidacioon"
"453","lugar"
"454","menos"
"455","mercado"
"456","mercanciia"
"457","mitad"
"458","oferta"
"459","porcentaje"
"460","precio"
"461","quitar"
"462","rebaja"
"463","rebajado"
"464","reduccioon"
"465","reducido"
"466","reducir"
"467","reembolso"
"468","remover"
"469","ropa"
"470","ross"
"471","rumor"
"472","tienda"
"473","venta"
"474","vestido"
"475","videojuego"
"476","viejo"
"477","alivio"
"478","atencioon"
"479","ayuda"
"480","calidad"
"481","cardioologo"
"482","carrera"
"483","cirugiia"
"484","cirujano"
"485","cita"
"486","cliinica"
"487","colegio"
"488","consultorio"
"489","covid"
"490","dentista"
"491","diagnoostico"
"492","diplomado"
"493","enfermedad"
"494","enfermero"
"495","estudiado"
"496","estudio"
"497","factura"
"498","farmacia"
"499","gripe"
"500","guante"
"501","hospital"
"502","instructor"
"503","inteligente"
"504","lesioon"
"505","medicina"
"506","meedico"
"507","nodriza"
"508","oficina"
"509","paciente"
"510","pediaatrico"
"511","pediatra"
"512","piildora"
"513","psicoologo"
"514","sana"
"515","senor"
"516","temperatura"
"517","terapista"
"518","universidad"
"519","vacuna"
"520","acostar"
"521","alarma"
"522","almohada"
"523","cabecear"
"524","casa"
"525","cobija"
"526","colcha"
"527","descanso"
"528","despertar"
"529","gato"
"530","iglesia"
"531","levantar"
"532","mucho"
"533","necesitar"
"534","noche"
"535","ojo"
"536","por favor"
"537","recuperar"
"538","relax"
"539","roncar"
"540","ronquido"
"541","saabana"
"542","siesta"
"543","sonnar"
"544","suenno"
"545","tarde"
"546","transponer"
"547","abuela"
"548","alfajor"
"549","azuucar"
"550","bizcocho"
"551","bomboon"
"552","canela"
"553","caramelo"
"554","cavidad"
"555","chamoy"
"556","chicle"
"557","chile"
"558","chocolate"
"559","churro"
"560","confite"
"561","diente"
"562","dona"
"563","dulce de leche"
"564","dulceriia"
"565","engordante"
"566","engordar"
"567","frasco"
"568","galleta"
"569","golosina"
"570","goma"
"571","gomita"
"572","gusto"
"573","helado"
"574","manjar"
"575","mazapaan"
"576","miel"
"577","nieve"
"578","paleta"
"579","pastel"
"580","pegostioso"
"581","pinnata"
"582","rosa"
"583","sabor"
"584","sabroso"
"585","tamarindo"
"586","abdominal"
"587","aeroobico"
"588","aire"
"589","brincar"
"590","caloriia"
"591","caminar"
"592","cansancio"
"593","dieta"
"594","difiicil"
"595","esforzar"
"596","esfuerzo"
"597","fiisico"
"598","gimnasio"
"599","importante"
"600","maaquina"
"601","mover"
"602","muusica"
"603","pesa"
"604","pesado"
"605","rutina"
"606","saltar"
"607","trabajar"
"608","yoga"
"609","aburrido"
"610","aspirar"
"611","barrer"
"612","basura"
"613","bruja"
"614","cepillo"
"615","cubo"
"616","escubir"
"617","faena"
"618","frazada"
"619","jaboon"
"620","limpia"
"621","madre"
"622","mandado"
"623","mop"
"624","mopa"
"625","mopear"
"626","mugre"
"627","mujer"
"628","organizado"
"629","palo"
"630","piso"
"631","recogedor"
"632","recoger"
"633","responsabilidad"
"634","retama"
"635","sucio"
"636","suelo"
"637","tarea"
"638","trapeador"
"639","trapear"
"640","trapo"
"641","volar"
"642","aalbum"
"643","amigui"
"644","aventura"
"645","caamara"
"646","celular"
"647","collage"
"648","cuadro"
"649","destello"
"650","digital"
"651","espejo"
"652","film"
"653","fotografiia"
"654","fotoografo"
"655","guardar"
"656","imagen"
"657","iphone"
"658","lente"
"659","maquillaje"
"660","memoria"
"661","mismo"
"662","modelo"
"663","momento"
"664","nina"
"665","novia"
"666","paisaje"
"667","panorama"
"668","pasado"
"669","pasear"
"670","polaroid"
"671","portarretrato"
"672","pose"
"673","recuerdo"
"674","reflexioon"
"675","revelado"
"676","rollo"
"677","sonreiir"
"678","sonrisa"
"679","tecnologiia"
